# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	ERR526049
UniRef90_A0A3E5EXI6	69.0727666693
UniRef90_A0A3E5EXI6|s__Bacteroides_faecis.t__SGB1860	48.9253395637
UniRef90_A0A3E5EXI6|s__Phocaeicola_vulgatus.t__SGB1814	20.1474271056
UniRef90_B0NJQ4	69.0724421651
UniRef90_B0NJQ4|unclassified	69.0724421651
UniRef90_A0A354IDB7	69.0488550342
UniRef90_A0A354IDB7|unclassified	69.0488550342
UniClust90_43594-DLCNAODM_02020	68.9904567372
UniClust90_43594-DLCNAODM_02020|unclassified	68.9904567372
UniRef90_A0A358LK07	68.9623116818
UniRef90_A0A358LK07|unclassified	68.9623116818
UniClust90_42826-MKMHBGBC_00989	68.9135253937
UniClust90_42826-MKMHBGBC_00989|unclassified	68.9135253937
UniRef90_UNK102314-JHOOCJOK_00105	68.8686645425
UniRef90_UNK102314-JHOOCJOK_00105|unclassified	68.8686645425
UniRef90_A0A174T5N3	68.8527234099
UniRef90_A0A174T5N3|unclassified	68.8527234099
UniRef90_A0A1R4B5R7	68.8268014303
UniRef90_A0A1R4B5R7|unclassified	68.8268014303
UniClust90_15389-FDAOHHPH_02096	68.8257234142
UniClust90_15389-FDAOHHPH_02096|unclassified	68.8257234142
UniClust90_28655-ABFKIMML_01738	68.7565457911
UniClust90_28655-ABFKIMML_01738|unclassified	68.7565457911
UniClust90_41470-FPKBNJNH_00859	68.7359384781
UniClust90_41470-FPKBNJNH_00859|unclassified	68.7359384781
UniRef90_A0A413ME05	68.6692833107
UniRef90_A0A413ME05|s__Bacteroides_uniformis.t__SGB1836	30.6459058670
UniRef90_A0A413ME05|s__Bacteroides_faecis.t__SGB1860	30.3868941663
UniRef90_A0A413ME05|s__Phocaeicola_vulgatus.t__SGB1814	7.6364832773
UniClust90_41439-EDKJILJB_01981	68.6553029636
UniClust90_41439-EDKJILJB_01981|unclassified	68.6553029636
UniRef90_A0A174H5M7	68.6326451186
UniRef90_A0A174H5M7|unclassified	68.6326451186
UniClust90_4890-BGBCCOCE_01547	68.6061764375
UniClust90_4890-BGBCCOCE_01547|unclassified	68.6061764375
UniRef90_I8WJW3	68.5917004557
UniRef90_I8WJW3|s__Phocaeicola_vulgatus.t__SGB1814	68.5917004557
UniRef90_A0A413KES5	68.5461772859
UniRef90_A0A413KES5|unclassified	68.5461772859
UniClust90_41623-NOLDNOEP_01661	68.5070615150
UniClust90_41623-NOLDNOEP_01661|unclassified	68.5070615150
UniRef90_A0A1C5YAR7	68.4939759863
UniRef90_A0A1C5YAR7|unclassified	68.4939759863
UniClust90_4709-BENEGEPK_00180	68.4754848771
UniClust90_4709-BENEGEPK_00180|unclassified	68.4754848771
UniClust90_41474-OHMCODDG_00958	68.4549943239
UniClust90_41474-OHMCODDG_00958|unclassified	68.4549943239
UniClust90_41439-NPIEODCF_01971	68.4394021362
UniClust90_41439-NPIEODCF_01971|unclassified	68.4394021362
UniRef90_C0CXV0	68.4337685884
UniRef90_C0CXV0|unclassified	68.4337685884
UniClust90_37550-MFNJPKIE_00906	68.3696776653
UniClust90_37550-MFNJPKIE_00906|unclassified	68.3696776653
UniRef90_A0A173TFT2	68.3692022177
UniRef90_A0A173TFT2|unclassified	68.3692022177
UniRef90_A0A3A9FD93	68.3544002109
UniRef90_A0A3A9FD93|unclassified	68.3544002109
UniRef90_J9FVB6	68.3182792225
UniRef90_J9FVB6|unclassified	68.3182792225
UniRef90_A0A173S4D2	68.3162853536
UniRef90_A0A173S4D2|unclassified	68.3162853536
UniRef90_A0A173S0X1	68.2955950034
UniRef90_A0A173S0X1|unclassified	68.2955950034
UniRef90_A0A173VU48	68.2934896201
UniRef90_A0A173VU48|unclassified	68.2934896201
UniClust90_41563-AHAGCFIJ_01814	68.2897961214
UniClust90_41563-AHAGCFIJ_01814|unclassified	68.2897961214
UniClust90_4637-FMCLPLLD_00969	68.2870109417
UniClust90_4637-FMCLPLLD_00969|unclassified	68.2870109417
UniRef90_UNK4950-IGDECAJD_01947	68.2535299704
UniRef90_UNK4950-IGDECAJD_01947|unclassified	68.2535299704
UniRef90_A0A174EK70	68.2389285262
UniRef90_A0A174EK70|unclassified	68.2389285262
UniClust90_41775-ONLGKJBO_01802	68.2386383077
UniClust90_41775-ONLGKJBO_01802|unclassified	68.2386383077
UniRef90_A0A174XIV3	68.2164507066
UniRef90_A0A174XIV3|unclassified	68.2164507066
UniRef90_C6ZBE6	68.1797431290
UniRef90_C6ZBE6|s__Phocaeicola_vulgatus.t__SGB1814	68.1797431290
UniRef90_I8ZEG1	68.1797431290
UniRef90_I8ZEG1|s__Phocaeicola_vulgatus.t__SGB1814	68.1797431290
UniRef90_A0A0P0EST8	68.1797431290
UniRef90_A0A0P0EST8|s__Bacteroides_faecis.t__SGB1860	34.0898715645
UniRef90_A0A0P0EST8|s__Bacteroides_uniformis.t__SGB1836	34.0898715645
UniRef90_A0A174TB21	68.1797431290
UniRef90_A0A174TB21|s__Phocaeicola_vulgatus.t__SGB1814	68.1797431290
UniRef90_C1P5Z8	68.1797431290
UniRef90_C1P5Z8|s__Escherichia_coli.t__SGB10068	68.1797431290
UniRef90_J7R8X5	68.1797431290
UniRef90_J7R8X5|s__Escherichia_coli.t__SGB10068	68.1797431290
UniRef90_R9HJW1	68.1797431290
UniRef90_R9HJW1|s__Phocaeicola_vulgatus.t__SGB1814	68.1797431290
UniRef90_UNK1860-BIJPPJNK_01621	68.1797431290
UniRef90_UNK1860-BIJPPJNK_01621|s__Bacteroides_faecis.t__SGB1860	68.1797431290
UniRef90_A0A0D0QLI0	68.1695238244
UniRef90_A0A0D0QLI0|unclassified	68.1695238244
UniRef90_A0A415SEX3	68.1694781873
UniRef90_A0A415SEX3|s__Phocaeicola_vulgatus.t__SGB1814	68.1694781873
UniRef90_I8WTE3	68.1368652448
UniRef90_I8WTE3|s__Phocaeicola_vulgatus.t__SGB1814	68.1368652448
UniClust90_4626-NJGHIFEJ_00682	68.1302595931
UniClust90_4626-NJGHIFEJ_00682|unclassified	68.1302595931
UniClust90_4950-BEMAAKPB_01237	68.1273995058
UniClust90_4950-BEMAAKPB_01237|unclassified	68.1273995058
UniRef90_C7GAW3	68.1084706300
UniRef90_C7GAW3|unclassified	68.1084706300
UniClust90_6792-BHJGAPLA_01671	68.1069622421
UniClust90_6792-BHJGAPLA_01671|unclassified	68.1069622421
UniRef90_A0A3R3F0K2	68.0879263560
UniRef90_A0A3R3F0K2|unclassified	68.0879263560
UniRef90_A0A173XH31	68.0632931219
UniRef90_A0A173XH31|unclassified	68.0632931219
UniRef90_A0A3B9B6M9	68.0439677589
UniRef90_A0A3B9B6M9|unclassified	68.0439677589
UniRef90_A0A173WK22	68.0301759006
UniRef90_A0A173WK22|unclassified	68.0301759006
UniRef90_A0A3D5T971	68.0203638554
UniRef90_A0A3D5T971|unclassified	68.0203638554
UniClust90_69346-MDDANEGK_01648	67.9750083795
UniClust90_69346-MDDANEGK_01648|unclassified	67.9750083795
UniRef90_UNK41664-HIFKDHJG_01512	67.9201247319
UniRef90_UNK41664-HIFKDHJG_01512|unclassified	67.9201247319
UniRef90_C0FMT1	67.9183646057
UniRef90_C0FMT1|unclassified	67.9183646057
UniRef90_A4NYJ0	67.9061152217
UniRef90_A4NYJ0|unclassified	67.9061152217
UniClust90_14881-PNOJMMGH_00332	67.8864374244
UniClust90_14881-PNOJMMGH_00332|unclassified	67.8864374244
UniRef90_A0A174CBI4	67.8583026507
UniRef90_A0A174CBI4|unclassified	67.8583026507
UniRef90_F4BP65	67.8265953534
UniRef90_F4BP65|unclassified	67.8265953534
UniClust90_42316-AGGIIKNC_01293	67.7889655300
UniClust90_42316-AGGIIKNC_01293|unclassified	67.7889655300
UniRef90_R7BJE4	67.7675999118
UniRef90_R7BJE4|unclassified	67.7675999118
UniClust90_5181-GODFGOOI_00239	67.7469155795
UniClust90_5181-GODFGOOI_00239|unclassified	67.7469155795
UniClust90_4677-LJJOKCMG_01523	67.7103229755
UniClust90_4677-LJJOKCMG_01523|unclassified	67.7103229755
UniRef90_A0A1S8P371	67.6776310236
UniRef90_A0A1S8P371|unclassified	67.6776310236
UniRef90_C6IUC5	67.6581479473
UniRef90_C6IUC5|s__Phocaeicola_vulgatus.t__SGB1814	67.6581479473
UniRef90_A0A174G1J4	67.6532750320
UniRef90_A0A174G1J4|unclassified	67.6532750320
UniClust90_41020-PGJLPGBC_00947	67.6265306740
UniClust90_41020-PGJLPGBC_00947|unclassified	67.6265306740
UniRef90_C7GGN2	67.6066271789
UniRef90_C7GGN2|unclassified	67.6066271789
UniClust90_37164-BBJJHFGM_00763	67.5991781459
UniClust90_37164-BBJJHFGM_00763|unclassified	67.5991781459
UniClust90_47582-KANDPFEF_00108	67.5823241222
UniClust90_47582-KANDPFEF_00108|unclassified	67.5823241222
UniClust90_43494-HJAHJNBC_01535	67.5485413041
UniClust90_43494-HJAHJNBC_01535|unclassified	67.5485413041
UniClust90_4478-PLBJMIDD_00823	67.4871892717
UniClust90_4478-PLBJMIDD_00823|unclassified	67.4871892717
UniClust90_41713-OMEGIPID_02539	67.4138878251
UniClust90_41713-OMEGIPID_02539|unclassified	67.4138878251
UniRef90_A0A173UPE2	67.4119905636
UniRef90_A0A173UPE2|unclassified	67.4119905636
UniClust90_6146-NHNBMNCF_01054	67.3837583341
UniClust90_6146-NHNBMNCF_01054|unclassified	67.3837583341
UniRef90_A0A352CRS9	67.3294028135
UniRef90_A0A352CRS9|unclassified	67.3294028135
UniClust90_41468-JLOKOEAP_01171	67.3126878388
UniClust90_41468-JLOKOEAP_01171|unclassified	67.3126878388
UniRef90_A0A0F7Q4K3	67.2858329165
UniRef90_A0A0F7Q4K3|s__Bifidobacterium_longum.t__SGB17248	67.2858329165
UniRef90_A0A174T7Z7	67.2578003825
UniRef90_A0A174T7Z7|unclassified	67.2578003825
UniRef90_I8WCD4	67.2288519599
UniRef90_I8WCD4|s__Phocaeicola_vulgatus.t__SGB1814	42.8187661334
UniRef90_I8WCD4|unclassified	24.4100858265
UniRef90_D4IN72	67.2193140127
UniRef90_D4IN72|s__Bacteroides_caccae.t__SGB1877	22.4371965464
UniRef90_D4IN72|s__Bacteroides_faecis.t__SGB1860	16.1521137598
UniRef90_D4IN72|s__Bacteroides_uniformis.t__SGB1836	14.5839898046
UniRef90_D4IN72|s__Phocaeicola_vulgatus.t__SGB1814	14.0460139019
UniClust90_17232-GHJGJBLD_01058	67.2027767695
UniClust90_17232-GHJGJBLD_01058|unclassified	67.2027767695
UniClust90_4939-NAHODJBB_01206	67.2006654169
UniClust90_4939-NAHODJBB_01206|unclassified	67.2006654169
UniRef90_A0A174PJU6	67.1955649223
UniRef90_A0A174PJU6|unclassified	67.1955649223
UniRef90_C4Z9C9	67.1842025215
UniRef90_C4Z9C9|unclassified	67.1842025215
UniRef90_K1T475	67.1810687800
UniRef90_K1T475|unclassified	67.1810687800
UniRef90_B5CX02	67.1341466778
UniRef90_B5CX02|s__Phocaeicola_vulgatus.t__SGB1814	21.2219858486
UniRef90_B5CX02|s__Bacteroides_caccae.t__SGB1877	18.7950605785
UniRef90_B5CX02|s__Bacteroides_uniformis.t__SGB1836	14.4907262525
UniRef90_B5CX02|s__Bacteroides_faecis.t__SGB1860	12.6263739982
UniRef90_C0FY66	67.1013404422
UniRef90_C0FY66|unclassified	67.1013404422
UniRef90_A0A1C5U2D1	67.0624815038
UniRef90_A0A1C5U2D1|unclassified	67.0624815038
UniRef90_UNK4949-AODOPFJP_01125	67.0600676068
UniRef90_UNK4949-AODOPFJP_01125|unclassified	67.0600676068
UniClust90_41470-ONOJLHIM_02006	67.0476634562
UniClust90_41470-ONOJLHIM_02006|unclassified	67.0476634562
UniRef90_A0A1C5WM33	67.0393834312
UniRef90_A0A1C5WM33|unclassified	67.0393834312
UniRef90_A0A1I5G9P3	67.0361371473
UniRef90_A0A1I5G9P3|unclassified	67.0361371473
UniRef90_UNK15146-KCBEOOKG_00364	67.0081767943
UniRef90_UNK15146-KCBEOOKG_00364|unclassified	67.0081767943
UniRef90_D4IN82	66.9636835487
UniRef90_D4IN82|s__Bacteroides_faecis.t__SGB1860	19.1815691506
UniRef90_D4IN82|s__Phocaeicola_vulgatus.t__SGB1814	18.0770894740
UniRef90_D4IN82|s__Bacteroides_uniformis.t__SGB1836	15.9839151218
UniRef90_D4IN82|s__Bacteroides_caccae.t__SGB1877	13.7211098023
UniClust90_69346-MDDANEGK_01834	66.9441833790
UniClust90_69346-MDDANEGK_01834|unclassified	66.9441833790
UniRef90_Q8A470	66.8938264209
UniRef90_Q8A470|s__Bacteroides_caccae.t__SGB1877	26.4089594499
UniRef90_Q8A470|s__Phocaeicola_vulgatus.t__SGB1814	24.3920058511
UniRef90_Q8A470|s__Bacteroides_faecis.t__SGB1860	12.2620277817
UniRef90_Q8A470|s__Bacteroides_uniformis.t__SGB1836	3.8308333382
UniRef90_E6LQW1	66.8379542769
UniRef90_E6LQW1|unclassified	66.8379542769
UniRef90_A0A3R7CG79	66.7786015501
UniRef90_A0A3R7CG79|unclassified	66.7786015501
UniRef90_C7GAE0	66.7643401041
UniRef90_C7GAE0|unclassified	66.7643401041
UniClust90_42507-HKEHBOOJ_00902	66.7540256594
UniClust90_42507-HKEHBOOJ_00902|unclassified	66.7540256594
UniRef90_C7GH59	66.7407112386
UniRef90_C7GH59|unclassified	66.7407112386
UniClust90_4948-FJKMMAFF_00690	66.7120417806
UniClust90_4948-FJKMMAFF_00690|unclassified	66.7120417806
UniRef90_A0A174EMZ8	66.6636317383
UniRef90_A0A174EMZ8|s__Bacteroides_caccae.t__SGB1877	28.4413665112
UniRef90_A0A174EMZ8|s__Bacteroides_uniformis.t__SGB1836	19.5124911275
UniRef90_A0A174EMZ8|s__Bacteroides_faecis.t__SGB1860	12.1630391015
UniRef90_A0A174EMZ8|s__Parabacteroides_distasonis.t__SGB1934	6.5467349982
UniRef90_F3PV93	66.6527551121
UniRef90_F3PV93|s__Bacteroides_faecis.t__SGB1860	27.8361075011
UniRef90_F3PV93|s__Bacteroides_uniformis.t__SGB1836	19.5092251876
UniRef90_F3PV93|s__Phocaeicola_vulgatus.t__SGB1814	19.3074224234
UniClust90_50796-DEMDDGAF_00044	66.6419762345
UniClust90_50796-DEMDDGAF_00044|unclassified	66.6419762345
UniClust90_29429-LCBGDMAG_01193	66.6121261020
UniClust90_29429-LCBGDMAG_01193|unclassified	66.6121261020
UniRef90_C7GBN4	66.5521748374
UniRef90_C7GBN4|unclassified	66.5521748374
UniRef90_Q9F6U0	66.5287833607
UniRef90_Q9F6U0|s__Phocaeicola_vulgatus.t__SGB1814	47.1971511058
UniRef90_Q9F6U0|s__Bacteroides_uniformis.t__SGB1836	11.1414467253
UniRef90_Q9F6U0|s__Bacteroides_caccae.t__SGB1877	7.1751394545
UniRef90_Q9F6U0|s__Parabacteroides_distasonis.t__SGB1934	0.8866473122
UniRef90_Q9F6U0|s__Bacteroides_faecis.t__SGB1860	0.1283987630
UniClust90_66051-FCLHACDL_00538	66.4941129047
UniClust90_66051-FCLHACDL_00538|unclassified	66.4941129047
UniRef90_A0A0P0G5U1	66.4592174653
UniRef90_A0A0P0G5U1|s__Bacteroides_caccae.t__SGB1877	27.0414527218
UniRef90_A0A0P0G5U1|s__Phocaeicola_vulgatus.t__SGB1814	17.6926956625
UniRef90_A0A0P0G5U1|s__Bacteroides_faecis.t__SGB1860	12.1730145327
UniRef90_A0A0P0G5U1|s__Bacteroides_uniformis.t__SGB1836	9.5520545483
UniClust90_6836-AMNPMOMB_00544	66.4129997559
UniClust90_6836-AMNPMOMB_00544|unclassified	66.4129997559
UniClust90_4803-FFCIPBMG_00005	66.4042991183
UniClust90_4803-FFCIPBMG_00005|unclassified	66.4042991183
UniRef90_UPI000BA6CD6E	66.3902060859
UniRef90_UPI000BA6CD6E|unclassified	66.3902060859
UniRef90_A0A3C0HVZ6	66.3855452564
UniRef90_A0A3C0HVZ6|unclassified	66.3855452564
UniClust90_4861-CDFBCAKE_00530	66.3840478357
UniClust90_4861-CDFBCAKE_00530|unclassified	66.3840478357
UniRef90_Q93L62	66.3818097782
UniRef90_Q93L62|s__Parabacteroides_distasonis.t__SGB1934	33.0420162731
UniRef90_Q93L62|s__Bacteroides_caccae.t__SGB1877	20.9696267811
UniRef90_Q93L62|s__Bacteroides_faecis.t__SGB1860	11.2356669468
UniRef90_Q93L62|s__Phocaeicola_vulgatus.t__SGB1814	1.0170976731
UniRef90_Q93L62|s__Bacteroides_uniformis.t__SGB1836	0.1174021041
UniRef90_A0A0M6WKA4	66.3647938504
UniRef90_A0A0M6WKA4|unclassified	66.3647938504
UniClust90_14984-OLBJILAH_01822	66.3141909915
UniClust90_14984-OLBJILAH_01822|unclassified	66.3141909915
UniRef90_A0A2K4ZPP0	66.3094954316
UniRef90_A0A2K4ZPP0|unclassified	66.3094954316
UniRef90_A0A381HRM2	66.3086224309
UniRef90_A0A381HRM2|unclassified	66.3086224309
UniClust90_4651-GMEMGACF_01523	66.3078543217
UniClust90_4651-GMEMGACF_01523|unclassified	66.3078543217
UniRef90_C0B7N2	66.3002442463
UniRef90_C0B7N2|unclassified	66.3002442463
UniRef90_A0A0N7IB13	66.2953526003
UniRef90_A0A0N7IB13|s__Phocaeicola_vulgatus.t__SGB1814	48.1466484807
UniRef90_A0A0N7IB13|s__Bacteroides_caccae.t__SGB1877	14.6948884760
UniRef90_A0A0N7IB13|s__Bacteroides_faecis.t__SGB1860	3.4538156436
UniClust90_41900-CFKGHPCA_01963	66.1610490980
UniClust90_41900-CFKGHPCA_01963|unclassified	66.1610490980
UniClust90_47662-GIEAFLKE_01656	66.1422285359
UniClust90_47662-GIEAFLKE_01656|unclassified	66.1422285359
UniRef90_R9I6I5	66.1299249195
UniRef90_R9I6I5|s__Phocaeicola_vulgatus.t__SGB1814	41.8533505966
UniRef90_R9I6I5|s__Bacteroides_uniformis.t__SGB1836	12.2444982417
UniRef90_R9I6I5|s__Bacteroides_faecis.t__SGB1860	12.0320760812
UniRef90_R7QY44	66.1194548496
UniRef90_R7QY44|unclassified	66.1194548496
UniClust90_36733-PBAKEDBO_01428	66.1144728974
UniClust90_36733-PBAKEDBO_01428|unclassified	66.1144728974
UniRef90_A0A3B9CDJ0	66.0549049197
UniRef90_A0A3B9CDJ0|unclassified	66.0549049197
UniRef90_Q8A488	66.0261496909
UniRef90_Q8A488|s__Phocaeicola_vulgatus.t__SGB1814	41.8772137574
UniRef90_Q8A488|s__Bacteroides_uniformis.t__SGB1836	15.8786897636
UniRef90_Q8A488|s__Bacteroides_faecis.t__SGB1860	5.1840718896
UniRef90_Q8A488|s__Bacteroides_caccae.t__SGB1877	3.0861742803
UniRef90_A0A2A7ACK4	66.0176472181
UniRef90_A0A2A7ACK4|s__Bacteroides_faecis.t__SGB1860	40.4306517661
UniRef90_A0A2A7ACK4|s__Phocaeicola_vulgatus.t__SGB1814	25.5869954520
UniRef90_A0A0J6CCA8	66.0149888036
UniRef90_A0A0J6CCA8|s__Bacteroides_uniformis.t__SGB1836	21.7270256287
UniRef90_A0A0J6CCA8|s__Bacteroides_faecis.t__SGB1860	19.9861962009
UniRef90_A0A0J6CCA8|s__Bacteroides_caccae.t__SGB1877	14.9571628016
UniRef90_A0A0J6CCA8|s__Phocaeicola_vulgatus.t__SGB1814	9.3446041723
UniRef90_A0A174FBG4	65.9419250330
UniRef90_A0A174FBG4|unclassified	65.9419250330
UniClust90_5104-LHPCCLLA_01976	65.9366140937
UniClust90_5104-LHPCCLLA_01976|unclassified	65.9366140937
UniClust90_14336-IDALKNMH_00551	65.9203325739
UniClust90_14336-IDALKNMH_00551|unclassified	65.9203325739
UniRef90_A0A350VL76	65.9057920526
UniRef90_A0A350VL76|unclassified	65.9057920526
UniClust90_37165-PIFCGHHE_01103	65.9019885355
UniClust90_37165-PIFCGHHE_01103|unclassified	65.9019885355
UniClust90_37113-MLPOPMJH_01363	65.8535466744
UniClust90_37113-MLPOPMJH_01363|unclassified	65.8535466744
UniClust90_41480-ENJHHJBH_01810	65.8084371875
UniClust90_41480-ENJHHJBH_01810|unclassified	65.8084371875
UniClust90_15288-INNGDAAI_00109	65.7872302233
UniClust90_15288-INNGDAAI_00109|unclassified	65.7872302233
UniClust90_5099-CFELPPBO_01505	65.7690040071
UniClust90_5099-CFELPPBO_01505|unclassified	65.7690040071
UniClust90_6165-KAGJDPPK_00887	65.7685949792
UniClust90_6165-KAGJDPPK_00887|unclassified	65.7685949792
UniRef90_A0A173UNF6	65.6648037239
UniRef90_A0A173UNF6|unclassified	65.6648037239
UniClust90_41474-FLLPKPBN_01293	65.6484885989
UniClust90_41474-FLLPKPBN_01293|unclassified	65.6484885989
UniRef90_R6KBL6	65.6429845772
UniRef90_R6KBL6|unclassified	65.6429845772
UniClust90_41527-LCJKPPAO_00783	65.6385225779
UniClust90_41527-LCJKPPAO_00783|unclassified	65.6385225779
UniRef90_D4MXX9	65.6381357230
UniRef90_D4MXX9|unclassified	65.6381357230
UniRef90_C0GDM7	65.6128094703
UniRef90_C0GDM7|unclassified	65.6128094703
UniRef90_C0G007	65.5473035941
UniRef90_C0G007|unclassified	65.5473035941
UniRef90_A0A173YFI5	65.5331016901
UniRef90_A0A173YFI5|unclassified	65.5331016901
UniRef90_A0A173TIQ2	65.5031424782
UniRef90_A0A173TIQ2|unclassified	65.5031424782
UniClust90_36960-EGICMJKH_00044	65.4690645783
UniClust90_36960-EGICMJKH_00044|unclassified	65.4690645783
UniRef90_U6RBB2	65.4550460472
UniRef90_U6RBB2|s__Phocaeicola_vulgatus.t__SGB1814	65.4550460472
UniClust90_4896-BBCDLBBI_01247	65.4411303731
UniClust90_4896-BBCDLBBI_01247|unclassified	65.4411303731
UniClust90_94880-DHFLJMDK_03357	65.4166223275
UniClust90_94880-DHFLJMDK_03357|unclassified	65.4166223275
UniRef90_C6IUF0	65.4137537411
UniRef90_C6IUF0|s__Bacteroides_faecis.t__SGB1860	42.5779984941
UniRef90_C6IUF0|s__Phocaeicola_vulgatus.t__SGB1814	22.8357552470
UniRef90_D4V9Y7	65.3423480584
UniRef90_D4V9Y7|s__Phocaeicola_vulgatus.t__SGB1814	65.3423480584
UniClust90_41470-FPKBNJNH_01752	65.2857209849
UniClust90_41470-FPKBNJNH_01752|unclassified	65.2857209849
UniClust90_71327-LIFNEGGO_00338	65.2746235140
UniClust90_71327-LIFNEGGO_00338|unclassified	65.2746235140
UniClust90_4937-CAAADMMH_00224	65.2541415330
UniClust90_4937-CAAADMMH_00224|unclassified	65.2541415330
UniRef90_A0A447TUI5	65.2177363124
UniRef90_A0A447TUI5|unclassified	65.2177363124
UniRef90_A0A173UBT7	65.2109528101
UniRef90_A0A173UBT7|unclassified	65.2109528101
UniRef90_A0A3D0HMJ0	65.1808901334
UniRef90_A0A3D0HMJ0|unclassified	65.1808901334
UniClust90_1939-NBNLDBDH_00316	65.1434722107
UniClust90_1939-NBNLDBDH_00316|unclassified	65.1434722107
UniRef90_A0A396F6Z2	65.0525122317
UniRef90_A0A396F6Z2|unclassified	63.5480546525
UniRef90_A0A396F6Z2|s__Collinsella_aerofaciens.t__SGB14535_group	1.5044575792
UniRef90_Q49ZF2	65.0315649300
UniRef90_Q49ZF2|unclassified	65.0315649300
UniClust90_4778-PGEBGMPE_01299	65.0134908234
UniClust90_4778-PGEBGMPE_01299|unclassified	65.0134908234
UniRef90_A0A1E3A9X8	64.9140947964
UniRef90_A0A1E3A9X8|unclassified	64.9140947964
UniRef90_A0A174JH13	64.8825596879
UniRef90_A0A174JH13|s__Phocaeicola_vulgatus.t__SGB1814	64.8825596879
UniRef90_A0A174CGA7	64.7884760875
UniRef90_A0A174CGA7|unclassified	64.7884760875
UniRef90_A0A1G0XQ53	64.7819484975
UniRef90_A0A1G0XQ53|unclassified	64.7819484975
UniRef90_A0A350VIP2	64.7456963997
UniRef90_A0A350VIP2|unclassified	64.7456963997
UniRef90_A0A173SBK7	64.7437227452
UniRef90_A0A173SBK7|unclassified	64.7437227452
UniRef90_A0A174CY02	64.7055258446
UniRef90_A0A174CY02|unclassified	64.7055258446
UniRef90_A0A3R6S8N3	64.6900327304
UniRef90_A0A3R6S8N3|unclassified	64.6900327304
UniRef90_A0A174CSI8	64.6850391227
UniRef90_A0A174CSI8|unclassified	64.6850391227
UniRef90_A0A413LYI9	64.6562864182
UniRef90_A0A413LYI9|s__Phocaeicola_vulgatus.t__SGB1814	64.6562864182
UniRef90_A0A173Z4P3	64.6398672259
UniRef90_A0A173Z4P3|unclassified	64.6398672259
UniRef90_Q041X4	64.6080801756
UniRef90_Q041X4|unclassified	64.6080801756
UniClust90_37113-PPNBFHPC_00484	64.6068252021
UniClust90_37113-PPNBFHPC_00484|unclassified	64.6068252021
UniRef90_B4UUJ4	64.5238588923
UniRef90_B4UUJ4|s__Parabacteroides_distasonis.t__SGB1934	38.0035190237
UniRef90_B4UUJ4|s__Bacteroides_faecis.t__SGB1860	10.1463061603
UniRef90_B4UUJ4|s__Bacteroides_caccae.t__SGB1877	7.1745016091
UniRef90_B4UUJ4|s__Bacteroides_uniformis.t__SGB1836	4.9303770236
UniRef90_B4UUJ4|s__Phocaeicola_vulgatus.t__SGB1814	4.2691550757
UniRef90_A0A174MDP8	64.5219513765
UniRef90_A0A174MDP8|unclassified	64.5219513765
UniRef90_C7GEK6	64.5016707040
UniRef90_C7GEK6|unclassified	64.5016707040
UniRef90_A0A285PV79	64.4967701778
UniRef90_A0A285PV79|unclassified	64.4967701778
UniRef90_A0A173VSJ6	64.4813854645
UniRef90_A0A173VSJ6|unclassified	64.4813854645
UniRef90_C0FNC3	64.4748029500
UniRef90_C0FNC3|unclassified	64.4748029500
UniRef90_C0FZD8	64.4368922207
UniRef90_C0FZD8|unclassified	64.4368922207
UniRef90_A0A1C6DHB4	64.4359749278
UniRef90_A0A1C6DHB4|unclassified	64.4359749278
UniRef90_Q8A4V8	64.4030514572
UniRef90_Q8A4V8|s__Phocaeicola_vulgatus.t__SGB1814	45.1684785794
UniRef90_Q8A4V8|s__Bacteroides_caccae.t__SGB1877	10.9502165105
UniRef90_Q8A4V8|s__Bacteroides_faecis.t__SGB1860	4.2758639545
UniRef90_Q8A4V8|s__Bacteroides_uniformis.t__SGB1836	4.0084924128
UniClust90_41609-CAKHOHHG_02992	64.3993406752
UniClust90_41609-CAKHOHHG_02992|unclassified	64.3993406752
UniRef90_A0A401M1U1	64.3961614317
UniRef90_A0A401M1U1|s__Phocaeicola_vulgatus.t__SGB1814	18.8347297023
UniRef90_A0A401M1U1|unclassified	18.1372865892
UniRef90_A0A401M1U1|s__Bacteroides_uniformis.t__SGB1836	14.2997656481
UniRef90_A0A401M1U1|s__Bacteroides_caccae.t__SGB1877	10.4997317331
UniRef90_A0A401M1U1|s__Bacteroides_faecis.t__SGB1860	2.6246477590
UniRef90_A0A096KU04	64.3795276863
UniRef90_A0A096KU04|unclassified	61.0113456245
UniRef90_A0A096KU04|s__Collinsella_aerofaciens.t__SGB14535_group	3.3681820618
UniRef90_K1RN60	64.3574134777
UniRef90_K1RN60|s__Phocaeicola_vulgatus.t__SGB1814	36.2866621156
UniRef90_K1RN60|s__Bacteroides_faecis.t__SGB1860	28.0707513621
UniRef90_A0A0P0M5L8	64.3362990969
UniRef90_A0A0P0M5L8|s__Phocaeicola_vulgatus.t__SGB1814	37.0323683559
UniRef90_A0A0P0M5L8|unclassified	27.3039307410
UniRef90_C7G9L0	64.2885497290
UniRef90_C7G9L0|unclassified	64.2885497290
UniRef90_C7GHK5	64.1651579563
UniRef90_C7GHK5|unclassified	64.1651579563
UniClust90_41480-ABOCIGDP_01120	64.1191435995
